Atualizado em: 2026-08-28
"ICAO Empresa Aérea";"Número Voo";"Código Autorização (DI)";"Código Tipo Linha";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação Voo";"Código Justificativa"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-11 23:00:00";"2026-04-11 23:35:00";"2026-04-12 09:05:00";"2026-04-12 09:16:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-12 23:00:00";"2026-04-12 23:24:00";"2026-04-13 09:05:00";"2026-04-13 09:29:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-13 23:00:00";"2026-04-13 23:46:00";"2026-04-14 09:05:00";"2026-04-14 10:09:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-14 23:00:00";"2026-04-14 23:31:00";"2026-04-15 09:05:00";"2026-04-15 09:26:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-15 23:00:00";"2026-04-15 23:02:00";"2026-04-16 09:05:00";"2026-04-16 08:55:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-16 23:00:00";"2026-04-16 22:58:00";"2026-04-17 09:05:00";"2026-04-17 08:58:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-17 23:00:00";"2026-04-17 23:00:00";"2026-04-18 09:05:00";"2026-04-18 08:50:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-18 23:00:00";"2026-04-18 22:56:00";"2026-04-19 09:05:00";"2026-04-19 08:57:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-19 23:00:00";"2026-04-19 23:02:00";"2026-04-20 09:05:00";"2026-04-20 08:42:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-20 23:00:00";"2026-04-20 23:04:00";"2026-04-21 09:05:00";"2026-04-21 08:42:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-21 23:00:00";"2026-04-21 23:06:00";"2026-04-22 09:05:00";"2026-04-22 08:59:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-22 23:00:00";"2026-04-22 22:59:00";"2026-04-23 09:05:00";"2026-04-23 08:41:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-23 23:00:00";"2026-04-24 01:07:00";"2026-04-24 09:05:00";"2026-04-24 10:35:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-24 23:00:00";"2026-04-24 23:08:00";"2026-04-25 09:05:00";"2026-04-25 09:05:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-25 23:00:00";"2026-04-25 23:14:00";"2026-04-26 09:05:00";"2026-04-26 09:00:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-26 23:00:00";"2026-04-26 23:25:00";"2026-04-27 09:05:00";"2026-04-27 09:47:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-27 23:00:00";"2026-04-27 23:38:00";"2026-04-28 09:05:00";"2026-04-28 09:49:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-28 23:00:00";"2026-04-28 23:26:00";"2026-04-29 09:05:00";"2026-04-29 09:37:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-29 23:00:00";"2026-04-29 23:42:00";"2026-04-30 09:05:00";"2026-04-30 09:46:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SBGR";"LEMD";"2026-04-30 23:00:00";"2026-04-30 23:06:00";"2026-05-01 09:05:00";"2026-05-01 08:46:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-01 17:00:00";"2026-04-01 16:56:00";"2026-04-01 20:45:00";"2026-04-01 21:02:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-02 17:00:00";"2026-04-02 16:57:00";"2026-04-02 20:45:00";"2026-04-02 21:41:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-03 16:50:00";"2026-04-03 16:50:00";"2026-04-03 20:35:00";"2026-04-03 20:53:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-04 16:50:00";"2026-04-04 16:45:00";"2026-04-04 20:35:00";"2026-04-04 20:28:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-05 17:00:00";"2026-04-05 16:53:00";"2026-04-05 20:45:00";"2026-04-05 20:43:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-06 16:50:00";"2026-04-06 16:45:00";"2026-04-06 20:35:00";"2026-04-06 21:10:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-07 16:50:00";"2026-04-07 16:47:00";"2026-04-07 20:35:00";"2026-04-07 21:25:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-08 17:00:00";"2026-04-08 16:59:00";"2026-04-08 20:45:00";"2026-04-08 20:41:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-09 17:00:00";"2026-04-09 16:58:00";"2026-04-09 20:45:00";"2026-04-09 20:52:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-10 16:50:00";"2026-04-10 16:47:00";"2026-04-10 20:35:00";"2026-04-10 20:41:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-11 16:50:00";"2026-04-11 16:50:00";"2026-04-11 20:35:00";"2026-04-11 20:22:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-12 17:00:00";"2026-04-12 17:01:00";"2026-04-12 20:45:00";"2026-04-12 20:59:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-13 16:50:00";"2026-04-13 16:46:00";"2026-04-13 20:35:00";"2026-04-13 20:32:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-14 16:50:00";"2026-04-14 16:47:00";"2026-04-14 20:35:00";"2026-04-14 20:51:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-15 17:00:00";"2026-04-15 16:58:00";"2026-04-15 20:45:00";"2026-04-15 20:48:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-16 17:00:00";"2026-04-16 17:02:00";"2026-04-16 20:45:00";"2026-04-16 20:54:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-17 16:50:00";"2026-04-17 16:44:00";"2026-04-17 20:35:00";"2026-04-17 20:41:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-18 16:50:00";"2026-04-18 16:43:00";"2026-04-18 20:35:00";"2026-04-18 20:21:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-19 17:00:00";"2026-04-19 16:57:00";"2026-04-19 20:45:00";"2026-04-19 20:50:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-20 16:50:00";"2026-04-20 16:48:00";"2026-04-20 20:35:00";"2026-04-20 20:45:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-21 16:50:00";"2026-04-21 16:49:00";"2026-04-21 20:35:00";"2026-04-21 20:53:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-22 17:00:00";"2026-04-22 16:56:00";"2026-04-22 20:45:00";"2026-04-22 20:39:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-23 17:00:00";"2026-04-23 16:53:00";"2026-04-23 20:45:00";"2026-04-23 20:43:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-24 17:00:00";"2026-04-24 16:51:00";"2026-04-24 20:35:00";"2026-04-24 20:23:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-25 16:50:00";"2026-04-25 16:46:00";"2026-04-25 20:35:00";"2026-04-25 20:15:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-26 17:00:00";"2026-04-26 16:53:00";"2026-04-26 20:45:00";"2026-04-26 20:55:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-27 17:00:00";"2026-04-27 17:15:00";"2026-04-27 20:35:00";"2026-04-27 21:24:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-28 17:00:00";"2026-04-28 17:02:00";"2026-04-28 20:35:00";"2026-04-28 21:15:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-29 17:00:00";"2026-04-29 16:56:00";"2026-04-29 20:45:00";"2026-04-29 21:13:00";"REALIZADO";"N/A"
"LAN";"0714";"0";"I";"SCEL";"SBGR";"2026-04-30 17:00:00";"2026-04-30 16:55:00";"2026-04-30 20:45:00";"2026-04-30 20:52:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-01 18:45:00";"2026-04-01 18:42:00";"2026-04-02 05:15:00";"2026-04-02 04:59:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-02 18:45:00";"2026-04-02 18:43:00";"2026-04-03 05:20:00";"2026-04-03 05:00:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-03 18:45:00";"2026-04-03 18:46:00";"2026-04-04 05:20:00";"2026-04-04 05:23:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-04 18:45:00";"2026-04-04 18:36:00";"2026-04-05 05:20:00";"2026-04-05 05:12:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-05 18:45:00";"2026-04-05 18:46:00";"2026-04-06 05:20:00";"2026-04-06 05:22:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-06 18:45:00";"2026-04-06 18:40:00";"2026-04-07 05:20:00";"2026-04-07 05:10:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-07 18:45:00";"2026-04-07 18:43:00";"2026-04-08 05:20:00";"2026-04-08 05:22:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-08 18:45:00";"2026-04-08 18:44:00";"2026-04-09 05:15:00";"2026-04-09 05:03:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-09 18:45:00";"2026-04-09 18:42:00";"2026-04-10 05:20:00";"2026-04-10 05:07:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-10 18:45:00";"2026-04-10 18:48:00";"2026-04-11 05:20:00";"2026-04-11 05:19:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-11 18:45:00";"2026-04-11 18:39:00";"2026-04-12 05:20:00";"2026-04-12 05:32:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-12 18:45:00";"2026-04-12 18:36:00";"2026-04-13 05:20:00";"2026-04-13 05:08:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-13 18:45:00";"2026-04-13 18:41:00";"2026-04-14 05:20:00";"2026-04-14 05:52:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-14 18:45:00";"2026-04-14 18:40:00";"2026-04-15 05:20:00";"2026-04-15 05:13:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-15 18:45:00";"null";"2026-04-16 05:15:00";"null";"CANCELADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-16 18:45:00";"2026-04-16 18:45:00";"2026-04-17 05:20:00";"2026-04-17 05:12:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-17 18:45:00";"2026-04-17 18:38:00";"2026-04-18 05:20:00";"2026-04-18 05:33:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-18 18:45:00";"2026-04-18 18:44:00";"2026-04-19 05:20:00";"2026-04-19 05:21:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-19 18:45:00";"2026-04-19 18:39:00";"2026-04-20 05:20:00";"2026-04-20 05:12:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-20 18:45:00";"2026-04-20 18:50:00";"2026-04-21 05:20:00";"2026-04-21 05:32:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-21 18:45:00";"2026-04-21 18:42:00";"2026-04-22 05:20:00";"2026-04-22 05:15:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-22 18:45:00";"2026-04-22 19:05:00";"2026-04-23 05:15:00";"2026-04-23 05:52:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-23 18:45:00";"2026-04-23 18:45:00";"2026-04-24 05:20:00";"2026-04-24 05:18:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-24 18:45:00";"2026-04-24 18:43:00";"2026-04-25 05:20:00";"2026-04-25 05:00:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-25 18:45:00";"2026-04-25 18:59:00";"2026-04-26 05:20:00";"2026-04-26 05:16:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-26 18:45:00";"2026-04-26 18:39:00";"2026-04-27 05:20:00";"2026-04-27 04:58:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-27 18:45:00";"2026-04-27 18:42:00";"2026-04-28 05:20:00";"2026-04-28 05:00:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-28 18:45:00";"2026-04-28 18:50:00";"2026-04-29 05:20:00";"2026-04-29 05:11:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-29 18:45:00";"2026-04-29 18:52:00";"2026-04-30 05:15:00";"2026-04-30 05:33:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"LEMD";"SBGR";"2026-04-30 18:45:00";"2026-04-30 18:42:00";"2026-05-01 05:20:00";"2026-05-01 05:30:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-02 07:15:00";"2026-04-02 07:18:00";"2026-04-02 11:30:00";"2026-04-02 11:20:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-03 07:15:00";"2026-04-03 07:08:00";"2026-04-03 11:30:00";"2026-04-03 11:02:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-04 07:15:00";"2026-04-04 07:17:00";"2026-04-04 11:30:00";"2026-04-04 11:16:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-05 07:15:00";"2026-04-05 07:24:00";"2026-04-05 11:30:00";"2026-04-05 11:28:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-06 07:15:00";"2026-04-06 07:14:00";"2026-04-06 11:30:00";"2026-04-06 11:06:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-07 07:15:00";"2026-04-07 07:17:00";"2026-04-07 11:30:00";"2026-04-07 11:35:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-08 07:15:00";"2026-04-08 07:21:00";"2026-04-08 11:30:00";"2026-04-08 11:38:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-09 07:15:00";"2026-04-09 07:13:00";"2026-04-09 11:30:00";"2026-04-09 11:38:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-10 07:15:00";"2026-04-10 07:22:00";"2026-04-10 11:30:00";"2026-04-10 11:55:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-11 07:15:00";"2026-04-11 07:14:00";"2026-04-11 11:30:00";"2026-04-11 11:26:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-12 07:15:00";"2026-04-12 07:23:00";"2026-04-12 11:30:00";"2026-04-12 11:43:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-13 07:15:00";"2026-04-13 07:12:00";"2026-04-13 11:30:00";"2026-04-13 11:11:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-14 07:15:00";"2026-04-14 07:29:00";"2026-04-14 11:30:00";"2026-04-14 11:43:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-15 07:15:00";"2026-04-15 07:25:00";"2026-04-15 11:30:00";"2026-04-15 11:37:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-16 07:15:00";"null";"2026-04-16 11:30:00";"null";"CANCELADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-17 07:15:00";"2026-04-17 10:56:00";"2026-04-17 11:30:00";"2026-04-17 15:05:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-18 07:15:00";"2026-04-18 07:41:00";"2026-04-18 11:30:00";"2026-04-18 12:00:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-19 07:15:00";"2026-04-19 07:25:00";"2026-04-19 11:30:00";"2026-04-19 11:23:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-20 07:15:00";"2026-04-20 07:15:00";"2026-04-20 11:30:00";"2026-04-20 11:26:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-21 07:15:00";"2026-04-21 07:26:00";"2026-04-21 11:30:00";"2026-04-21 11:38:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-22 07:15:00";"2026-04-22 07:09:00";"2026-04-22 11:30:00";"2026-04-22 11:34:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-23 07:15:00";"2026-04-23 07:16:00";"2026-04-23 11:30:00";"2026-04-23 11:35:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-24 07:15:00";"2026-04-24 07:10:00";"2026-04-24 11:30:00";"2026-04-24 11:33:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-25 07:15:00";"2026-04-25 07:10:00";"2026-04-25 11:30:00";"2026-04-25 11:48:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-26 07:15:00";"2026-04-26 07:22:00";"2026-04-26 11:30:00";"2026-04-26 11:40:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-27 07:15:00";"2026-04-27 07:18:00";"2026-04-27 11:30:00";"2026-04-27 11:40:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-28 07:15:00";"2026-04-28 07:08:00";"2026-04-28 11:30:00";"2026-04-28 11:25:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-29 07:15:00";"2026-04-29 07:05:00";"2026-04-29 11:30:00";"2026-04-29 11:17:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-04-30 07:15:00";"2026-04-30 07:22:00";"2026-04-30 11:30:00";"2026-04-30 11:37:00";"REALIZADO";"N/A"
"LAN";"0715";"0";"I";"SBGR";"SCEL";"2026-05-01 07:10:00";"2026-05-01 07:00:00";"2026-05-01 11:30:00";"2026-05-01 11:06:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-01 12:20:00";"2026-04-01 12:10:00";"2026-04-01 17:10:00";"2026-04-01 16:36:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-03 12:20:00";"2026-04-03 12:15:00";"2026-04-03 17:10:00";"2026-04-03 16:49:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-04 12:20:00";"2026-04-04 12:17:00";"2026-04-04 17:10:00";"2026-04-04 16:50:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-05 12:20:00";"2026-04-05 12:21:00";"2026-04-05 17:10:00";"2026-04-05 17:07:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-06 12:20:00";"2026-04-06 12:22:00";"2026-04-06 17:10:00";"2026-04-06 17:04:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-08 12:20:00";"2026-04-08 12:42:00";"2026-04-08 17:10:00";"2026-04-08 17:31:00";"REALIZADO";"N/A"
"LAN";"0716";"0";"I";"SBGL";"SCEL";"2026-04-10 12:20:00";"2026-04-10 15:17:00";"2026-04-10 17:10:00";"2026-04-10 19:53:00";"REALIZADO";"N/A"
